id,question
39264,Who created the humanoid robot named Jet Jaguar in the movie Godzilla vs. Megalon?
39264,What undersea race of people seized Jet Jaguar in Godzilla vs. Megalon?
39264,Why did the Seatopians send Megalon to the surface in Godzilla vs. Megalon?
39264,Which companies produced the movie Godzilla vs. Megalon?
39264,What are some keywords associated with the movie Godzilla vs. Megalon?
760162,What is the title of the Chinese animation film that was released in 2020 and explores the behavior of ingredients in a cup of ice cream soda?
760162,What is the popularity of the animation movie 'Float'?
760162,Which production company was involved in making the animation movie 'Float'?
760162,What is the runtime of the Chinese animation film 'Float'?
760162,Is there any revenue or budget information available for the animation movie 'Float'?
747280,What is the title of the 2013 documentary about the behavior and habits of youths in some neighborhoods in Shiraz?
747280,What genre is the movie 'Bruise' categorized as?
747280,In what language was the documentary 'Bruise' originally produced?
747280,What is the plot summary of the 2013 documentary 'Bruise'?
747280,What is the runtime of the documentary 'Bruise'?
765499,What is the title of the movie released in 1999 about a young man who becomes homeless?
765499,What is the plot of the movie 'Sun and Moon'?
765499,What is the original language of the movie 'Sun and Moon'?
765499,How long is the runtime of 'Sun and Moon'?
765499,What is the release date of the movie about a homeless young man with no direction?
516247,What type of film is 'Stanley Kubrick: The Invisible Man' and what language is it in?
516247,What is the documentary 'Stanley Kubrick: The Invisible Man' about?
516247,How popular is the documentary 'Stanley Kubrick: The Invisible Man'?
516247,Who are the notable individuals that contributed to the making of 'Stanley Kubrick: The Invisible Man'?
516247,What is the runtime of the documentary 'Stanley Kubrick: The Invisible Man' and what is its release date?
833942,What is the title of the Chinese animation movie released in 1956 that is about Plumpy Aunt who has to leave for her parents' home after receiving a letter about her mother's illness?
833942,Which animation studio produced the 1956 movie 'Plumpy Aunt Goes Back to Her Parents’ Home'?
833942,What is the plot of the Chinese animation movie 'Plumpy Aunt Goes Back to Her Parents’ Home' released in 1956?
833942,What is the runtime of the Chinese animation movie 'Plumpy Aunt Goes Back to Her Parents’ Home'?
833942,What is the popularity of the Chinese animation movie 'Plumpy Aunt Goes Back to Her Parents’ Home'?
579452,What is the title of the Telugu drama-romance film directed by Jandhyala Subramanya Sastry?
579452,Which actors made their debut in the English movie 'Mudda Mandaram' released in 1981?
579452,What is the plot overview of the drama film 'Mudda Mandaram'?
579452,What is the tagline for the movie 'Mudda Mandaram'?
579452,When was the drama-romance movie 'Mudda Mandaram' released?
786478,What is the title of the French fantasy film released in 2018 by Tritone Studios?
786478,What themes does the movie 'Leftovers & Leftlovers' explore in the context of human identity and existence?
786478,Who are the main cast members in the movie 'Leftovers & Leftlovers'?
786478,What is the plot of 'Leftovers & Leftlovers' and how does it relate to the present day?
786478,What is the runtime and status of the French-language film 'Leftovers & Leftlovers'?
47541,What is the title of the Comedy-Thriller movie about three popular girls who become threatened by a sexy exchange student?
47541,Which language is the original 'Bad Girls from Valley High' film produced in?
47541,Can you provide a brief summary of the 'Bad Girls from Valley High' movie?
47541,What is the popularity score of the 'Bad Girls from Valley High' movie?
47541,Which production companies are responsible for the creation of 'Bad Girls from Valley High'?
597388,What is the title of the movie released in 2019 with a running time of 14 minutes and still in the cinema?
597388,What is the original language of the movie 'Divining' that was released in 2019?
597388,What is the popularity of the movie 'Divining' that was released in 2019 and has a running time of 14 minutes?
