id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords
823464,Godzilla x Kong: The New Empire,Science Fiction-Action-Adventure,en,Following their explosive showdown Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world challenging their very existence – and our own.,10484.676,Legendary Pictures-Warner Bros. Pictures,2024-03-27,150000000.0,558503759.0,115.0,Released,Rise together or fall alone.,7.246,1878.0,Rebecca Hall-Brian Tyree Henry-Dan Stevens-Kaylee Hottle-Alex Ferns-Fala Chen-Rachel House-Ron Smyck-Chantelle Jamieson-Greg Hatton-Kevin Copeland-Tess Dobre-Tim Carroll-Anthony Brandon Wong-Sophia Emberson-Bain-Chika Ikogwe-Vincent B. Gorce-Yeye Zhou-Jamaliah Othman-Nick Lawler-Jordy Campbell-Cassie Riley-Robert Clavero-Patrick Moroney,giant monster-sequel-dinosaur-kaiju-fantasy world-giant ape-godzilla-king kong-mongkey
615656,Meg 2: The Trench,Action-Science Fiction-Horror,en,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,8763.998,Apelles Entertainment-Warner Bros. Pictures-di Bonaventura Pictures-CMC Pictures-Gravity Pictures-China Film Group Corporation,2023-08-02,129000000.0,352056482.0,116.0,Released,Back for seconds.,7.079,1365.0,Jason Statham-Wu Jing-Shuya Sophia Cai-Sergio Peris-Mencheta-Skyler Samuels-Cliff Curtis-Page Kennedy-Sienna Guillory-Melissanthi Mahut-Kiran Sonia Sawar-Felix Mayr-Whoopie van Raam-Guo Tao-Robin Hill-Dai Lele-Sui Fong Ivy Tsui-Stewart Alexander-Li Xin-Billy Clements-Ron Smoorenburg-Rui Shang-Sara Dee-Jonny James-Bai Narisu-Kenneth Won-Able Wanamakok,based on novel or book-sequel-kaiju
758323,The Pope's Exorcist,Horror-Mystery-Thriller,en,Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.,5953.227,Screen Gems-2.0 Entertainment-Jesus & Mary-Worldwide Katz-Loyola Productions-FFILME.RO,2023-04-05,18000000.0,65675816.0,103.0,Released,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",7.433,545.0,Russell Crowe-Daniel Zovatto-Alex Essoe-Franco Nero-Peter DeSouza-Feighoney-Laurel Marsden-Cornell John-Ryan O'Grady-Bianca Bardoe-Santi Bayón-Paloma Bloyd-Alessandro Gruttadauria-River Hawkins-Jordi Collet-Carrie Munro-Marc Velasco-Edward Harper-Jones-Matthew Sim-Victor Solé-Tom Bonington-Andrea Dugoni-Ed White-Laila Barwick-Gennaro Diana-Pablo Raybould-Ralph Ineson-Derek Carroll-Ella Cannon,spain-rome italy-vatican-pope-pig-possession-conspiracy-devil-exorcist-skepticism-catholic priest-1980s-supernatural horror
667538,Transformers: Rise of the Beasts,Action-Adventure-Science Fiction,en,When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.,5409.104,Skydance-Paramount-di Bonaventura Pictures-Bay Films-New Republic Pictures-Tom DeSanto/Don Murphy Production-Hasbro,2023-06-06,200000000.0,407045464.0,127.0,Released,Unite or fall.,7.34,1007.0,Anthony Ramos-Dominique Fishback-Luna Lauren Velez-Dean Scott Vazquez-Tobe Nwigwe-Sarah Stiles-Leni Parker-Frank Marrs-Aidan Devine-Kerwin Jackson-Mike Chute-Tyler Hall-Sean Tucker-Jay Farrar-Lucas Huarancca-Amiel Cayo-Santusa Cutipa-Yesenia Inquillay-Sumac T'Ika-Josue Sallo-Mellissa Alvarez-Gloria Cusi-Michael Kelly-Jason D. Avalos-Lesley Stahl-Peter Cullen-Ron Perlman-Peter Dinklage-Michelle Yeoh-Pete Davidson-Liza Koshy-John DiMaggio-David Sobolov-Michaela Jaé Rodriguez-Colman Domingo-Cristo Fernández-Tongayi Chirisa-Luke Jones,peru-alien-end of the world-based on cartoon-based on toy-robot-duringcreditsstinger-1990s-brother brother relationship
693134,Dune: Part Two,Science Fiction-Adventure,en,Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee.,4742.163,Legendary Pictures,2024-02-27,190000000.0,683813734.0,167.0,Released,Long live the fighters.,8.3,2770.0,Timothée Chalamet-Zendaya-Rebecca Ferguson-Javier Bardem-Josh Brolin-Austin Butler-Florence Pugh-Dave Bautista-Christopher Walken-Léa Seydoux-Stellan Skarsgård-Charlotte Rampling-Souheila Yacoub-Roger Yuan-Babs Olusanmokun-Alison Halstead-Giusi Merli-Kait Tenison-Tara Breathnach-Akiko Hitomi-Imola Gáspár-Alison Adnet-Hamza Baissa-Hassan Najib-Jasper Ryan-Carter-Elbooz Omar Ahmed Fathie-Abdelkarim Hussein Seli Mohamed Hassanin-Joseph Beddelem-Xavier Alba Royo-Rachid Abbad-Affif Ben Badra-Botond Bóta-Abdelaziz Boumane-Abdellah Echahbi-Zouhair Elakkari-Noureddine Hajoujou-Mohamed Mouraoui-Adil Achraf Sayd-Hamza Sayd-Hopi Grace-Havin Fathi-Kincsö Pethö-Cat Simmons-Burt Caesar-Remi Fadare-Amer El-Erwadi-Tedroy Newell-Oxa Hazel-Hajiyeva Pakiza-Leon Herbert-Sima Rostami-Yvonne Campbell-Joseph Charles-Vic Zander-Dylan Baldwin-Marcia Tucker-Nicola Brome-Kathy Owen-Huw Novelli-Moe Bar-El-Serhat Metin-Amra Mallassi-Adam Bloom-Luis Alkmim-Jordan Long-Omar A.K.-Zdeněk Dvořáček-Billy Clements-Anton Saunders-Lex Daniel-Dominic McHale-Paul Boyle-Niall White-Tony Cook-Gábor Szemán-Jonathan Gunning-Will Irvine-Alan Mehdizadeh-Rex Adams-Molly Mcowan-Ana Cilas-Kajsa Mohammar-Sára Bácsfalvi-Kocsis Zsofia-Matthew Sim-Steve Wall-Italo Amerighi-Tim Hilborne-Cecile Sinclair-Tracy Coogan-Zoe Kata Kaska-Jimmy Walker-Rand Faris-Fouad Humaidan-Manaf Irani-Dora Kápolnai-Schvab-Joelle-Anya Taylor-Joy-Peter Sztojanov Jr.-Alexandra Tóth,epic-based on novel or book-fight-sandstorm-sand-spice-chosen one-sequel-distant future-creature-planet-desert-destiny-giant worm-space opera-sand dune-messiah-vengeance-giant creature-power-violence-dune part two
640146,Ant-Man and the Wasp: Quantumania,Action-Adventure-Science Fiction,en,Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.,4425.387,Marvel Studios-Kevin Feige Productions,2023-02-15,200000000.0,475766228.0,125.0,Released,Witness the beginning of a new dynasty.,6.507,2811.0,Paul Rudd-Evangeline Lilly-Jonathan Majors-Kathryn Newton-Michelle Pfeiffer-Michael Douglas-Corey Stoll-Bill Murray-William Jackson Harper-David Dastmalchian-Jamie Andrew Cutler-Katy O'Brian-Mark Weinman-Randall Park-Ross Mullan-Tom Clark-Leon Cooke-Nathan Blees-Durassie Kiangangu-Liran Nathan-Sam Symons-Grahame Fox-Nicola Peluso-Harrison Daniels-Brahmdeo Shannon Ramana-Russell Balogh-Leonardo Taiwo-Osian Roberts-Lucas Gerstel-Mia Gerstel-Tracy Jeffrey-Dinah Jeffrey-Judy Jeffrey-John Nayagam-Greta Nayagam-Cathy Chan-Adam Sai-Jamie Sai-Jakari Fraser-Patricia Belcher-Mark Oliver Everett-Ruben Rabasa-Melanie Garcia-Gregg Turkington-Sierra Katow-Ryan Bergara-Marielle Scott-Jake Millgard-Dey Young-Briza Covarrubias-Tess Aubert-David J. Castillo-Sir Cornwell-Alan Heitz-Esther McAuley-Aisling Maria Andreica-Milton Lopes-Roger Craig Smith-Matthew Wood-Loveday Smith-John Townsend-Tom Hiddleston-Owen Wilson-Abby Ryder Fortson,hero-ant-sequel-superhero-based on comic-family-superhero team-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu)
677179,Creed III,Drama-Action,en,After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.,3994.342,Metro-Goldwyn-Mayer-Proximity Media-Balboa Productions-Outlier Society Productions-Chartoff-Winkler Productions,2023-03-01,75000000.0,269000000.0,116.0,Released,You can't run from your past.,7.262,1129.0,Michael B. Jordan-Tessa Thompson-Jonathan Majors-Wood Harris-Phylicia Rashād-Mila Davis-Kent-José Benavidez Jr.-Selenis Leyva-Florian Munteanu-Thaddeus J. Mixson-Spence Moore II-Tony Bellew-Patrice Harris-Ann Najjar-Jacob 'Stitch' Duran-Terence Crawford-Bobby Hernandez-Yahya McClain-Lamont Lankford-Corey Calliet-Kenny Bayless-Todd Grisham-Jessica McCaskill-Maya Page-Jimmy Lennon Jr.-Russell Mora-Al Bernstein-Mauro Ranallo-Brianna Valeria Gonzalez Vazquez-Shayra Medal-Kimberly Dawn Davis-David Diamante-Tony Weeks-Chris Mannix-Andreia Gibau-Soraya Yd-Stephen A. Smith-Barry Pepper-Jessica Holmes-Canelo Álvarez-Fernanda Gomez-Kehlani-Jeremy Lee Stone-Aaron D. Alexander-Brian Neal-Corey Hibbert-James Harden-Jove Edmond-Engle Files-Michael A. Jordan-Natasha Ofili-Rose Eshay-Alan Boell-Eli Joshua Adé-Butch Locsin-Stefni Valencia-Bella Dee-Anastasia Wilson-Beth Scherr-Michelle Davidson-Leah Haile-Teófimo López-Pete Penuel,philadelphia pennsylvania-husband wife relationship-deaf-sports-sequel-orphan-former best friend-ex-con-childhood friends-juvenile detention center-boxing-prodigy
614479,Insidious: The Red Door,Horror-Mystery-Thriller,en,To put their demons to rest once and for all Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.,3512.648,Blumhouse Productions-Stage 6 Films-Screen Gems-Atomic Monster-Oren Peli Productions,2023-07-05,16000000.0,175582093.0,107.0,Released,It ends where it all began.,6.75,564.0,Ty Simpkins-Patrick Wilson-Sinclair Daniel-Rose Byrne-Lin Shaye-Hiam Abbass-Andrew Astor-Juliana Davies-Steve Coulter-Peter Dager-Joseph Bishara-Angus Sampson-Leigh Whannell-Justin Sturgis-David Call-Stephen Gray-Robin S. Walker-Bridget Kim-Logan Wilson-Kasjan Wilson-Mary Looram-Adrian Acosta-AJ Dyer-Kalin Wilson-E. Roger Mitchell-Dagmara Domińczyk-Tom Toland-Elaine Apruzzese-Suki Úna Rae-Desi Ramos-Victorya Danylko-Petrovskaya-Tom Fitzpatrick-Barbara Hershey,sequel-demon-franchise-insidious-supernatural horror-evil spirits-directorial debut-fifth part
519182,Despicable Me 4,Animation-Family-Comedy-Action,en,Gru and Lucy and their girls—Margo Edith and Agnes—welcome a new member to the Gru family Gru Jr. who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina forcing the family to go on the run.,3195.72,Universal Pictures-Illumination-dentsu-Fuji Television Network,2024-06-20,100000000.0,810329715.0,94.0,Released,Things just got a little more despicable.,7.35,984.0,Steve Carell-Kristen Wiig-Will Ferrell-Sofía Vergara-Miranda Cosgrove-Dana Gaier-Madison Polan-Pierre Coffin-Chris Renaud-Steve Coogan-Stephen Colbert-Chloe Fineman-Joey King-Laraine Newman-John DiMaggio-Tara Strong-Romesh Ranganathan-Brad Ableson-Barbara Harris-Eden Boulton-JP Karliak-Cathy Cavadini-Arif S. Kinchen-Will Collyer-Jeremy Maxwell-Abby Craden-Ken Daurio-Khary Payton-John DeMita-Aaron Fors-Isaac Robinson-Smith-Willow Geer-Isa Hall-Nisa Ward-Aaron Hendry-Andreana Weiner-Colette Whitaker,superhero-villain-sequel-super villain-illumination-kids-disapproving
533535,Deadpool & Wolverine,Science Fiction-Action-Comedy,en,A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary Deadpool behind him. But when his homeworld faces an existential threat Wade must reluctantly suit-up again with an even more reluctant Wolverine.,3050.593,Marvel Studios-Maximum Effort-21 Laps Entertainment-TSG Entertainment-20th Century Studios,2024-07-24,250000000.0,103300000.0,128.0,Released,Come together.,8.182,344.0,Ryan Reynolds-Hugh Jackman-Emma Corrin-Matthew Macfadyen-Morena Baccarin-Rob Delaney-Leslie Uggams-Karan Soni-Brianna Hildebrand-Shioli Kutsuna-Stefan Kapicic-Randal Reeder-Lewis Tan-Aaron Stanford-Jennifer Garner-Dafne Keen-Wesley Snipes-Channing Tatum-Chris Evans-Jon Favreau-Wunmi Mosaku-Tyler Mane-Aaron W Reed-Ray Park-Jason Flemyng-Dania Ramirez-Tony McCarthy-Sonita Henry-Ryan McKen-Nanak Phlora-Aydin Ahmed-Leemore Marrett Jr.-James Dryden-Ollie Palmer-Greg Hemphill-Ed Kear-Paul G. Raymond-Henry Cavill-Nick Pauley-Blake Lively-Nathan Fillion-Matthew McConaughey-Inez Reynolds-OIin Reynolds-Paul Mullin-Alex Kyshkovych-Chris Hemsworth-Mark Ruffalo,hero-superhero-anti hero-mutant-breaking the fourth wall-marvel cinematic universe (mcu)-mutants-superhero teamup
