id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords
39264,Godzilla vs. Megalon,Action-Science Fiction,Japanese,Inventor Goro Ibuki creates a humanoid robot named Jet Jaguar. It is soon seized by an undersea race of people called the Seatopians. Using Jet Jaguar as a guide the Seatopians send Megalon as vengeance for the nuclear tests that have devastated their society.,16.758,TOHO-Toho Eizo Co.,1973-03-17,760000,980000,82,Released,Dreaded Megalon from the undersea kingdom!,6.1,159,Katsuhiko Sasaki-Hiroyuki Kawase-Yutaka Hayashi-Robert Dunham-Kotaro Tomita-Ulf Otsuki-Gentaro Nakajima-Sakyo Mikami-Fumiyo Ikeda-Kanta Mori-Rolf Jessup-Eisuke Nakanishi-Shinji Takagi-Hideto Odachi-Tsugutoshi Komada-Kenpachirō Satsuma,japan-underground world-kidnapping-giant robot-giant monster-robot-gojira-kaiju-godzilla
760162,Float,Animation,Chinese,The reconstruction of a cup of ice cream soda an exploration of how ingredients can behave in different ways.,0.6,,2020-10-28,0,0,2,Released,,0.0,0,,
747280,Bruise,Documentary,English,A documentary about the behavior and habits of youths in some neighborhoods in Shiraz.,0.6,,2013-01-01,0,0,49,Released,,0.0,0,,
765499,Sun and Moon,,English,Thrown out of his crash pad after traveling the West Coast a young man David hits the streets without money or direction. Fortunately a little girl points him to a rooftop where other homeless people have crashed.,0.6,,1999-09-28,0,0,90,Released,,0.0,0,,
516247,Stanley Kubrick: The Invisible Man,Documentary,English,Exploring the reputation of Stanley Kubrick by means of extracts from his work and contributions of people with whom he worked.,0.68,,1996-06-20,0,0,51,Released,,5.3,3,Ken Adam-James B. Harris-Michael Herr-Malcolm McDowell-Bryan Singer-R. Lee Ermey,
833942,Plumpy Aunt Goes Back to Her Parents’ Home,Animation,Chinese,When Plumpy Aunt who has just made a new dress for her sleeping baby receives a letter telling her that her mother is seriously ill she prepares to leave that very night but is so scatterbrained that she starts forgetting things.,0.6,Shanghai Animation Film Studio,1956-01-01,0,0,10,Released,,0.0,0,,
579452,Mudda Mandaram,Drama-Romance,English,Mudda Mandaram is a Telugu drama film written and directed by Jandhyala Subramanya Sastry. It is debut film for both the leading actors Poornima and Pradeep and Suthi Velu,0.6,,1981-09-11,0,0,127,Released,Hasya Brahma debut film,0.0,0,Pradeep-Poornima Devi,
786478,Leftovers & Leftlovers,Fantasy,French,For every generation the doomsday clock is ticking louder and human beings feel they live in the most bizarre and dreadful time ever. No one knows if it’s an incapability to comprehend the existence a need to return to a more primitive state or a pure idealization of nihilism.  After the Great Blackout a man seeks out his past. By confronting his feminine and masculine alter egos he strives to restore his identity. The emergence of his most primal instincts is an absolutely straightforward and unequivocal reflection of the present day.,0.603,Tritone Studios,2018-10-02,0,0,15,Released,,0.0,0,Viesturs Adler-Ralfs Blanks-Eva Kondratova,
47541,Bad Girls from Valley High,Comedy-Thriller,English,Brooke Danielle and Tiffany are three attractive and popular teenage girls who have risen to the top of the pecking order at their high school and that's just the way they want things to stay. A sexy exchange student however arrives at the school and soon attracts the attention of all the boys -- including Danielle's hunky boyfriend. Not eager to share the spotlight with anyone the gals decide that the new girl in town needs to be dealt with...permanently.,3.447,Universal Home Entertainment-The Bubble Factory,2005-07-17,0,0,84,Released,"High School can be hell, but popularity can be murder!",3.3,14,Julie Benz-Monica Keena-Nicole Bilderback-Chris D'Elia-Jonathan Brandis-Aaron Paul-Janet Leigh-Christopher Lloyd-Tanja Reichert-Suzanna Urszuly-Maria Luisa Cianni-Bobby Jo Moore-Jennifer Carmichael-Dolores Drake-Patricia Idlette-Michelle Jones,based on novel or book-high school-murder-dark comedy-curse-exchange student-premature aging
597388,DIVINING,,English,waking scattered in a hollow finding forgotten warmth still spinning diaphanous bloom.,0.6,,2019-03-01,0,0,14,Released,,0.0,0,,
536166,Dogmeat,Drama,Russian,A young 15-years-old boy Kid has been looking up to his older brother Valyok as long as he remembers himself. He desires to become as brave cocky and masculine as his brother is. Once Valyok and his best friend Ruble finally invite Kid to hang out with them. Everything seems to go on well until older guys decides to do barbecue from a dog. What would Kid do and how his attitude to his brother would change?,0.849,VGIK,2017-04-19,0,0,31,Released,,0.0,0,Ilya Del-Aleksandr Kuznetsov-Alexandr Anokhin-Elizaveta Shumilina-Alina Gvasaliya-Anna Klinskaya-Sergey Badichkin-Anna Ponomareva,
95775,Clip,Drama,Serbian,Jasna a beautiful teenager leads a crude life in post-war Serbia. She goes on a spree of sex drugs and partying until she finds love and tenderness in a harsh environment.,10.332,Film House Bas Celik,2012-01-27,0,0,100,Released,,5.4,87,Isidora Simijonović-Vukašin Jasnić-Sanja Mikitišin-Jovo Maksić-Monja Savić-Katarina Pešić-Sonja Janičić-Jovana Stojiljković-Vladimir Gvojić-Nikola Dragutinović,alcohol-serbia-drinking-cell phone-woman director
198337,Demoniac,Drama,French,Les Louves was also released as Demoniaque and She Wolves. By any name it's a puzzler at least until the final fast-paced scenes. Gervais (FranÁois Perier) escapes from a German concentration camp and assumes the identity of a recently deceased fellow prisoner. Knowing that the dead man has been carrying on a romance by correspondence with Helene (Micheline Presle) a woman whom he has never seen Gervais makes the acquaintance of the woman and moves in with her. The woman's sister Agnes (Jeanne Moreau) dabbles in the black arts which should be warning enough for Gervais to make himself scarce. But he sticks around intrigued that the dead man's sister Julia (Madeleine Robinson) refuses to blow the whistle on him.,0.771,,1957-04-26,0,0,101,Released,,6.7,3,François Périer-Micheline Presle-Jeanne Moreau-Madeleine Robinson-Marc Cassot-Pierre Mondy-Paul Faivre-Paul Faivre-Simone Angèle-Jo Peignot-Clément Harari,sibling relationship-assumed identity-mind game
